Unnamed: 0,title,votes,date,word,lemmas
657.6,Det skal være lovpligtigt at bruge en godkendt cykel- eller høvdingehjelm til alle åbne køretøjer på offentlig vej undtagen bil.,342,2020-09-29,åbne,åben
657.7,Det skal være lovpligtigt at bruge en godkendt cykel- eller høvdingehjelm til alle åbne køretøjer på offentlig vej undtagen bil.,342,2020-09-29,køretøjer,køretøje
657.8,Det skal være lovpligtigt at bruge en godkendt cykel- eller høvdingehjelm til alle åbne køretøjer på offentlig vej undtagen bil.,342,2020-09-29,offentlig,offentlig
657.9,Det skal være lovpligtigt at bruge en godkendt cykel- eller høvdingehjelm til alle åbne køretøjer på offentlig vej undtagen bil.,342,2020-09-29,vej,vej
657.1,Det skal være lovpligtigt at bruge en godkendt cykel- eller høvdingehjelm til alle åbne køretøjer på offentlig vej undtagen bil.,342,2020-09-29,undtagen,undtagen
657.11,Det skal være lovpligtigt at bruge en godkendt cykel- eller høvdingehjelm til alle åbne køretøjer på offentlig vej undtagen bil.,342,2020-09-29,bil,bil
658.0,Hente uledsagede børn til Danmark fra Moria-lejren,455,2020-09-29,hente,hente
658.1,Hente uledsagede børn til Danmark fra Moria-lejren,455,2020-09-29,uledsagede,uledsage
658.2,Hente uledsagede børn til Danmark fra Moria-lejren,455,2020-09-29,børn,barn
658.3,Hente uledsagede børn til Danmark fra Moria-lejren,455,2020-09-29,danmark,danmark
658.4,Hente uledsagede børn til Danmark fra Moria-lejren,455,2020-09-29,moria,moria
658.5,Hente uledsagede børn til Danmark fra Moria-lejren,455,2020-09-29,lejren,lejr
659.0,Forstærket Grænsehegn,132,2020-09-29,forstærket,forstærke
659.1,Forstærket Grænsehegn,132,2020-09-29,grænsehegn,grænsehegn
660.0,Digital dannelse på skoleskemaet i folkeskolen,163,2020-10-02,digital,digital
660.1,Digital dannelse på skoleskemaet i folkeskolen,163,2020-10-02,dannelse,dannelse
660.2,Digital dannelse på skoleskemaet i folkeskolen,163,2020-10-02,skoleskemaet,skoleskema
660.3,Digital dannelse på skoleskemaet i folkeskolen,163,2020-10-02,folkeskolen,folkeskole
661.0,Lærere og pædagoger kan springe over i corona-køen,360,2020-10-02,lærere,lærere
661.1,Lærere og pædagoger kan springe over i corona-køen,360,2020-10-02,pædagoger,pædagog
661.2,Lærere og pædagoger kan springe over i corona-køen,360,2020-10-02,kan,kunne
661.3,Lærere og pædagoger kan springe over i corona-køen,360,2020-10-02,springe,spring
661.4,Lærere og pædagoger kan springe over i corona-køen,360,2020-10-02,corona,coronae
661.5,Lærere og pædagoger kan springe over i corona-køen,360,2020-10-02,køen,køe
662.0,Tandlæge behandling skal gå ind under den normale sygeforsikring.,2143,2020-10-06,tandlæge,tandlæge
662.1,Tandlæge behandling skal gå ind under den normale sygeforsikring.,2143,2020-10-06,behandling,behandling
662.2,Tandlæge behandling skal gå ind under den normale sygeforsikring.,2143,2020-10-06,gå,gå
662.3,Tandlæge behandling skal gå ind under den normale sygeforsikring.,2143,2020-10-06,normale,normal
662.4,Tandlæge behandling skal gå ind under den normale sygeforsikring.,2143,2020-10-06,sygeforsikring,sygeforsikring
663.0,Alle herrelandsholdets kampe skal vises på hovedkanalerne i Danmark (DR og TV2),110,2020-10-07,alle,al
663.1,Alle herrelandsholdets kampe skal vises på hovedkanalerne i Danmark (DR og TV2),110,2020-10-07,herrelandsholdets,herrelandshold
663.2,Alle herrelandsholdets kampe skal vises på hovedkanalerne i Danmark (DR og TV2),110,2020-10-07,kampe,kamp
663.3,Alle herrelandsholdets kampe skal vises på hovedkanalerne i Danmark (DR og TV2),110,2020-10-07,vises,vise
663.4,Alle herrelandsholdets kampe skal vises på hovedkanalerne i Danmark (DR og TV2),110,2020-10-07,hovedkanalerne,hovedkanal
663.5,Alle herrelandsholdets kampe skal vises på hovedkanalerne i Danmark (DR og TV2),110,2020-10-07,danmark,danmark
663.6,Alle herrelandsholdets kampe skal vises på hovedkanalerne i Danmark (DR og TV2),110,2020-10-07,dr,dre
663.7,Alle herrelandsholdets kampe skal vises på hovedkanalerne i Danmark (DR og TV2),110,2020-10-07,tv2,tv2
664.0,Lov om benægtelse af folkedrab i Srebrenica BiH,1062,2020-10-07,lov,lov
664.1,Lov om benægtelse af folkedrab i Srebrenica BiH,1062,2020-10-07,benægtelse,benægtelse
664.2,Lov om benægtelse af folkedrab i Srebrenica BiH,1062,2020-10-07,folkedrab,folkedrabe
664.3,Lov om benægtelse af folkedrab i Srebrenica BiH,1062,2020-10-07,srebrenica,srebrenica
664.4,Lov om benægtelse af folkedrab i Srebrenica BiH,1062,2020-10-07,bih,bihe
665.0,Dyremishandling SKAL straffes HÅRDT!,1098,2020-10-12,dyremishandling,dyremishandling
665.1,Dyremishandling SKAL straffes HÅRDT!,1098,2020-10-12,skal,skalle
665.2,Dyremishandling SKAL straffes HÅRDT!,1098,2020-10-12,straffes,straf
665.3,Dyremishandling SKAL straffes HÅRDT!,1098,2020-10-12,hårdt,hårdt
666.0,"Fritagelse for, eller nedsættelse af, strømafgifter for virksomheder der vederlagsfrit tilbyder opladning af elbiler.",104,2020-10-12,fritagelse,fritagelse
666.1,"Fritagelse for, eller nedsættelse af, strømafgifter for virksomheder der vederlagsfrit tilbyder opladning af elbiler.",104,2020-10-12,nedsættelse,nedsættelse
666.2,"Fritagelse for, eller nedsættelse af, strømafgifter for virksomheder der vederlagsfrit tilbyder opladning af elbiler.",104,2020-10-12,strømafgifter,strømafgifte
666.3,"Fritagelse for, eller nedsættelse af, strømafgifter for virksomheder der vederlagsfrit tilbyder opladning af elbiler.",104,2020-10-12,virksomheder,virksomhede
666.4,"Fritagelse for, eller nedsættelse af, strømafgifter for virksomheder der vederlagsfrit tilbyder opladning af elbiler.",104,2020-10-12,vederlagsfrit,vederlagsfrit
666.5,"Fritagelse for, eller nedsættelse af, strømafgifter for virksomheder der vederlagsfrit tilbyder opladning af elbiler.",104,2020-10-12,tilbyder,tilbyde
666.6,"Fritagelse for, eller nedsættelse af, strømafgifter for virksomheder der vederlagsfrit tilbyder opladning af elbiler.",104,2020-10-12,opladning,opladning
666.7,"Fritagelse for, eller nedsættelse af, strømafgifter for virksomheder der vederlagsfrit tilbyder opladning af elbiler.",104,2020-10-12,elbiler,elbil
667.0,Tilbud om psykologhjælp efter 1. spontane abort – uanset graviditetsuge.,376,2020-10-12,tilbud,tilbud
667.1,Tilbud om psykologhjælp efter 1. spontane abort – uanset graviditetsuge.,376,2020-10-12,psykologhjælp,psykologhjælp
667.2,Tilbud om psykologhjælp efter 1. spontane abort – uanset graviditetsuge.,376,2020-10-12,1,1
667.3,Tilbud om psykologhjælp efter 1. spontane abort – uanset graviditetsuge.,376,2020-10-12,spontane,spontan
667.4,Tilbud om psykologhjælp efter 1. spontane abort – uanset graviditetsuge.,376,2020-10-12,abort,abort
667.5,Tilbud om psykologhjælp efter 1. spontane abort – uanset graviditetsuge.,376,2020-10-12,uanset,uanset
667.6,Tilbud om psykologhjælp efter 1. spontane abort – uanset graviditetsuge.,376,2020-10-12,graviditetsuge,graviditetsuge
668.0,Forbyd de danske minkfarme,12896,2020-10-12,forbyd,forbyde
668.1,Forbyd de danske minkfarme,12896,2020-10-12,danske,dansk
668.2,Forbyd de danske minkfarme,12896,2020-10-12,minkfarme,minkfarm
669.0,Borgerforslag til revision af reglerne for supplerende dagpenge gældende for selvstændig bibeskæftigelse.,406,2020-10-12,borgerforslag,borgerforslag
669.1,Borgerforslag til revision af reglerne for supplerende dagpenge gældende for selvstændig bibeskæftigelse.,406,2020-10-12,revision,revision
669.2,Borgerforslag til revision af reglerne for supplerende dagpenge gældende for selvstændig bibeskæftigelse.,406,2020-10-12,reglerne,regel
669.3,Borgerforslag til revision af reglerne for supplerende dagpenge gældende for selvstændig bibeskæftigelse.,406,2020-10-12,supplerende,supplere
669.4,Borgerforslag til revision af reglerne for supplerende dagpenge gældende for selvstændig bibeskæftigelse.,406,2020-10-12,dagpenge,dagpenge
669.5,Borgerforslag til revision af reglerne for supplerende dagpenge gældende for selvstændig bibeskæftigelse.,406,2020-10-12,gældende,gælde
669.6,Borgerforslag til revision af reglerne for supplerende dagpenge gældende for selvstændig bibeskæftigelse.,406,2020-10-12,selvstændig,selvstændig
669.7,Borgerforslag til revision af reglerne for supplerende dagpenge gældende for selvstændig bibeskæftigelse.,406,2020-10-12,bibeskæftigelse,bibeskæftigelse
670.0,Gør organdonation automatisk fra fødslen og til et aktivt fravalg når man bliver 18år,15406,2020-10-12,gør,gø
670.1,Gør organdonation automatisk fra fødslen og til et aktivt fravalg når man bliver 18år,15406,2020-10-12,organdonation,organdonation
670.2,Gør organdonation automatisk fra fødslen og til et aktivt fravalg når man bliver 18år,15406,2020-10-12,automatisk,automatisk
670.3,Gør organdonation automatisk fra fødslen og til et aktivt fravalg når man bliver 18år,15406,2020-10-12,fødslen,fødsel
670.4,Gør organdonation automatisk fra fødslen og til et aktivt fravalg når man bliver 18år,15406,2020-10-12,aktivt,aktivt
670.5,Gør organdonation automatisk fra fødslen og til et aktivt fravalg når man bliver 18år,15406,2020-10-12,fravalg,fravalg
670.6,Gør organdonation automatisk fra fødslen og til et aktivt fravalg når man bliver 18år,15406,2020-10-12,18år,18år
671.0,Tilbud om udredning efter 1. spontane abort.,2940,2020-10-12,tilbud,tilbud
671.1,Tilbud om udredning efter 1. spontane abort.,2940,2020-10-12,udredning,udredning
671.2,Tilbud om udredning efter 1. spontane abort.,2940,2020-10-12,1,1
671.3,Tilbud om udredning efter 1. spontane abort.,2940,2020-10-12,spontane,spontan
671.4,Tilbud om udredning efter 1. spontane abort.,2940,2020-10-12,abort,abort
672.0,INGEN tvangsvaccine mod covid-19,10995,2020-10-19,ingen,ingen
672.1,INGEN tvangsvaccine mod covid-19,10995,2020-10-19,tvangsvaccine,tvangsvaccine
672.2,INGEN tvangsvaccine mod covid-19,10995,2020-10-19,covid,covid
672.3,INGEN tvangsvaccine mod covid-19,10995,2020-10-19,19,19
673.0,Afskaffelse af bekendtgørelse om Egenbetaling,100,2020-10-23,afskaffelse,afskaffelse
673.1,Afskaffelse af bekendtgørelse om Egenbetaling,100,2020-10-23,bekendtgørelse,bekendtgørelse
673.2,Afskaffelse af bekendtgørelse om Egenbetaling,100,2020-10-23,egenbetaling,egenbetaling
674.0,Dobbeltrettet cykelsti og gangsti over Storebælt,246,2020-10-23,dobbeltrettet,dobbeltrette
674.1,Dobbeltrettet cykelsti og gangsti over Storebælt,246,2020-10-23,cykelsti,cykelsti
674.2,Dobbeltrettet cykelsti og gangsti over Storebælt,246,2020-10-23,gangsti,gangsti
674.3,Dobbeltrettet cykelsti og gangsti over Storebælt,246,2020-10-23,storebælt,storebælt
675.0,Mindre støj fra motorveje i bynære områder.,2249,2020-10-26,mindre,mindre
675.1,Mindre støj fra motorveje i bynære områder.,2249,2020-10-26,støj,støj
675.2,Mindre støj fra motorveje i bynære områder.,2249,2020-10-26,motorveje,motorvej
675.3,Mindre støj fra motorveje i bynære områder.,2249,2020-10-26,bynære,bynære
675.4,Mindre støj fra motorveje i bynære områder.,2249,2020-10-26,områder,område
676.0,KATTEGATFORBINDELSE TIL VEJLEDENDE FOLKEAFSTEMNING,3662,2020-10-28,kattegatforbindelse,kattegatforbindelse
676.1,KATTEGATFORBINDELSE TIL VEJLEDENDE FOLKEAFSTEMNING,3662,2020-10-28,til,til
676.2,KATTEGATFORBINDELSE TIL VEJLEDENDE FOLKEAFSTEMNING,3662,2020-10-28,vejledende,vejledende
676.3,KATTEGATFORBINDELSE TIL VEJLEDENDE FOLKEAFSTEMNING,3662,2020-10-28,folkeafstemning,folkeafstemning
677.0,Tidssvarende rammer for dagpengemodtagere: forslag til ændring af rettigheder og krav.,145,2020-10-28,tidssvarende,tidssvare
677.1,Tidssvarende rammer for dagpengemodtagere: forslag til ændring af rettigheder og krav.,145,2020-10-28,rammer,ramme
677.2,Tidssvarende rammer for dagpengemodtagere: forslag til ændring af rettigheder og krav.,145,2020-10-28,dagpengemodtagere,dagpengemodtager
677.3,Tidssvarende rammer for dagpengemodtagere: forslag til ændring af rettigheder og krav.,145,2020-10-28,forslag,forslag
677.4,Tidssvarende rammer for dagpengemodtagere: forslag til ændring af rettigheder og krav.,145,2020-10-28,ændring,ændring
677.5,Tidssvarende rammer for dagpengemodtagere: forslag til ændring af rettigheder og krav.,145,2020-10-28,rettigheder,rettighed
677.6,Tidssvarende rammer for dagpengemodtagere: forslag til ændring af rettigheder og krav.,145,2020-10-28,krav,krav
678.0,Obligatorisk stillingtagen til organdonation fra 18 år,727,2020-10-28,obligatorisk,obligatorisk
678.1,Obligatorisk stillingtagen til organdonation fra 18 år,727,2020-10-28,stillingtagen,stillingtagen
678.2,Obligatorisk stillingtagen til organdonation fra 18 år,727,2020-10-28,organdonation,organdonation
678.3,Obligatorisk stillingtagen til organdonation fra 18 år,727,2020-10-28,18,18
678.4,Obligatorisk stillingtagen til organdonation fra 18 år,727,2020-10-28,år,år
679.0,Flere kvindelige forfattere på dansk litteraturs kanon for folkeskolen,741,2020-10-28,flere,flere
679.1,Flere kvindelige forfattere på dansk litteraturs kanon for folkeskolen,741,2020-10-28,kvindelige,kvindelig
679.2,Flere kvindelige forfattere på dansk litteraturs kanon for folkeskolen,741,2020-10-28,forfattere,forfatter
679.3,Flere kvindelige forfattere på dansk litteraturs kanon for folkeskolen,741,2020-10-28,dansk,dansk
679.4,Flere kvindelige forfattere på dansk litteraturs kanon for folkeskolen,741,2020-10-28,litteraturs,litteraturse
679.5,Flere kvindelige forfattere på dansk litteraturs kanon for folkeskolen,741,2020-10-28,kanon,kanonne
679.6,Flere kvindelige forfattere på dansk litteraturs kanon for folkeskolen,741,2020-10-28,folkeskolen,folkeskole
680.0,Videooptagelser af børnesamtaler,186,2020-10-29,videooptagelser,videooptagelse
680.1,Videooptagelser af børnesamtaler,186,2020-10-29,børnesamtaler,børnesamtale
681.0,Ændring af lovgivningen således at ernæringspleje tydeliggøres og præciseres i behandlingen og plejen af syge og ældre,341,2020-10-29,ændring,ændring
681.1,Ændring af lovgivningen således at ernæringspleje tydeliggøres og præciseres i behandlingen og plejen af syge og ældre,341,2020-10-29,lovgivningen,lovgivning
681.2,Ændring af lovgivningen således at ernæringspleje tydeliggøres og præciseres i behandlingen og plejen af syge og ældre,341,2020-10-29,således,således
681.3,Ændring af lovgivningen således at ernæringspleje tydeliggøres og præciseres i behandlingen og plejen af syge og ældre,341,2020-10-29,ernæringspleje,ernæringspleje
681.4,Ændring af lovgivningen således at ernæringspleje tydeliggøres og præciseres i behandlingen og plejen af syge og ældre,341,2020-10-29,tydeliggøres,tydeliggøre
681.5,Ændring af lovgivningen således at ernæringspleje tydeliggøres og præciseres i behandlingen og plejen af syge og ældre,341,2020-10-29,præciseres,præcisere
681.6,Ændring af lovgivningen således at ernæringspleje tydeliggøres og præciseres i behandlingen og plejen af syge og ældre,341,2020-10-29,behandlingen,behandling
681.7,Ændring af lovgivningen således at ernæringspleje tydeliggøres og præciseres i behandlingen og plejen af syge og ældre,341,2020-10-29,plejen,pleje
681.8,Ændring af lovgivningen således at ernæringspleje tydeliggøres og præciseres i behandlingen og plejen af syge og ældre,341,2020-10-29,syge,syge
681.9,Ændring af lovgivningen således at ernæringspleje tydeliggøres og præciseres i behandlingen og plejen af syge og ældre,341,2020-10-29,ældre,gammel
682.0,Udokumenterede skøn skal ikke tages seriøst,92,2020-10-30,udokumenterede,udokumentere
682.1,Udokumenterede skøn skal ikke tages seriøst,92,2020-10-30,skøn,skønne
682.2,Udokumenterede skøn skal ikke tages seriøst,92,2020-10-30,tages,tage
682.3,Udokumenterede skøn skal ikke tages seriøst,92,2020-10-30,seriøst,seriøst
683.0,Hæv aldersgrænsen for køb af alkohol i Danmark til 18 år.,1236,2020-10-30,hæv,hæv
683.1,Hæv aldersgrænsen for køb af alkohol i Danmark til 18 år.,1236,2020-10-30,aldersgrænsen,aldersgrænse
683.2,Hæv aldersgrænsen for køb af alkohol i Danmark til 18 år.,1236,2020-10-30,køb,køb
683.3,Hæv aldersgrænsen for køb af alkohol i Danmark til 18 år.,1236,2020-10-30,alkohol,alkohol
683.4,Hæv aldersgrænsen for køb af alkohol i Danmark til 18 år.,1236,2020-10-30,danmark,danmark
683.5,Hæv aldersgrænsen for køb af alkohol i Danmark til 18 år.,1236,2020-10-30,18,18
683.6,Hæv aldersgrænsen for køb af alkohol i Danmark til 18 år.,1236,2020-10-30,år,år
684.0,Socialrådgiverne under lov om autorisation,294,2020-11-05,socialrådgiverne,socialrådgiver
684.1,Socialrådgiverne under lov om autorisation,294,2020-11-05,lov,lov
684.2,Socialrådgiverne under lov om autorisation,294,2020-11-05,autorisation,autorisation
685.0,Kropskamera på alle gadebetjente i Danmark,854,2020-11-05,kropskamera,kropskamera
685.1,Kropskamera på alle gadebetjente i Danmark,854,2020-11-05,gadebetjente,gadebetjene
685.2,Kropskamera på alle gadebetjente i Danmark,854,2020-11-05,danmark,danmark
686.0,"Klimamærkning på fødevarer, der angiver varens CO2-aftryk",326,2020-11-05,klimamærkning,klimamærkning
686.1,"Klimamærkning på fødevarer, der angiver varens CO2-aftryk",326,2020-11-05,fødevarer,fødevare
686.2,"Klimamærkning på fødevarer, der angiver varens CO2-aftryk",326,2020-11-05,angiver,angive
686.3,"Klimamærkning på fødevarer, der angiver varens CO2-aftryk",326,2020-11-05,varens,vare
686.4,"Klimamærkning på fødevarer, der angiver varens CO2-aftryk",326,2020-11-05,co2,co2
686.5,"Klimamærkning på fødevarer, der angiver varens CO2-aftryk",326,2020-11-05,aftryk,aftryk
687.0,Undervisning i forebyggelse af sexisme og racisme på ungdomsudannelser,319,2020-11-05,undervisning,undervisning
687.1,Undervisning i forebyggelse af sexisme og racisme på ungdomsudannelser,319,2020-11-05,forebyggelse,forebyggelse
687.2,Undervisning i forebyggelse af sexisme og racisme på ungdomsudannelser,319,2020-11-05,sexisme,sexisme
687.3,Undervisning i forebyggelse af sexisme og racisme på ungdomsudannelser,319,2020-11-05,racisme,racisme
687.4,Undervisning i forebyggelse af sexisme og racisme på ungdomsudannelser,319,2020-11-05,ungdomsudannelser,ungdomsudannelse
688.0,Værnemiddels fradrag,26,2020-11-06,værnemiddels,værnemiddelse
688.1,Værnemiddels fradrag,26,2020-11-06,fradrag,fradrage
689.0,Sagsbehandlingsgaranti med nationale tidsfrister og tværfaglig kvalitet i sagsbehandlingen for syge.,5489,2020-11-11,sagsbehandlingsgaranti,sagsbehandlingsgarantie
689.1,Sagsbehandlingsgaranti med nationale tidsfrister og tværfaglig kvalitet i sagsbehandlingen for syge.,5489,2020-11-11,nationale,national
689.2,Sagsbehandlingsgaranti med nationale tidsfrister og tværfaglig kvalitet i sagsbehandlingen for syge.,5489,2020-11-11,tidsfrister,tidsfrist
689.3,Sagsbehandlingsgaranti med nationale tidsfrister og tværfaglig kvalitet i sagsbehandlingen for syge.,5489,2020-11-11,tværfaglig,tværfaglig
689.4,Sagsbehandlingsgaranti med nationale tidsfrister og tværfaglig kvalitet i sagsbehandlingen for syge.,5489,2020-11-11,kvalitet,kvalitet
689.5,Sagsbehandlingsgaranti med nationale tidsfrister og tværfaglig kvalitet i sagsbehandlingen for syge.,5489,2020-11-11,sagsbehandlingen,sagsbehandling
689.6,Sagsbehandlingsgaranti med nationale tidsfrister og tværfaglig kvalitet i sagsbehandlingen for syge.,5489,2020-11-11,syge,syge
690.0,"En forkortelse af skoledagen og gladere børn i folkeskolen.
Erstatte folkeskolereformen anno 2014 med et meget bedre alternativ.",3669,2020-11-11,en,en
690.1,"En forkortelse af skoledagen og gladere børn i folkeskolen.
Erstatte folkeskolereformen anno 2014 med et meget bedre alternativ.",3669,2020-11-11,forkortelse,forkortelse
690.2,"En forkortelse af skoledagen og gladere børn i folkeskolen.
Erstatte folkeskolereformen anno 2014 med et meget bedre alternativ.",3669,2020-11-11,skoledagen,skoledag
690.3,"En forkortelse af skoledagen og gladere børn i folkeskolen.
Erstatte folkeskolereformen anno 2014 med et meget bedre alternativ.",3669,2020-11-11,gladere,gladere
690.4,"En forkortelse af skoledagen og gladere børn i folkeskolen.
Erstatte folkeskolereformen anno 2014 med et meget bedre alternativ.",3669,2020-11-11,børn,barn
690.5,"En forkortelse af skoledagen og gladere børn i folkeskolen.
Erstatte folkeskolereformen anno 2014 med et meget bedre alternativ.",3669,2020-11-11,folkeskolen,folkeskole
690.6,"En forkortelse af skoledagen og gladere børn i folkeskolen.
Erstatte folkeskolereformen anno 2014 med et meget bedre alternativ.",3669,2020-11-11,erstatte,erstatte
690.7,"En forkortelse af skoledagen og gladere børn i folkeskolen.
Erstatte folkeskolereformen anno 2014 med et meget bedre alternativ.",3669,2020-11-11,folkeskolereformen,folkeskolereform
690.8,"En forkortelse af skoledagen og gladere børn i folkeskolen.
Erstatte folkeskolereformen anno 2014 med et meget bedre alternativ.",3669,2020-11-11,anno,anno
690.9,"En forkortelse af skoledagen og gladere børn i folkeskolen.
Erstatte folkeskolereformen anno 2014 med et meget bedre alternativ.",3669,2020-11-11,2014,2014
690.1,"En forkortelse af skoledagen og gladere børn i folkeskolen.
Erstatte folkeskolereformen anno 2014 med et meget bedre alternativ.",3669,2020-11-11,bedre,god
690.11,"En forkortelse af skoledagen og gladere børn i folkeskolen.
Erstatte folkeskolereformen anno 2014 med et meget bedre alternativ.",3669,2020-11-11,alternativ,alternativ
691.0,Legalisér Marijuana og dyrk det i de tomme avlshuse på minkfarmene.,599,2020-11-11,legalisér,legalisér
691.1,Legalisér Marijuana og dyrk det i de tomme avlshuse på minkfarmene.,599,2020-11-11,marijuana,marijuana
691.2,Legalisér Marijuana og dyrk det i de tomme avlshuse på minkfarmene.,599,2020-11-11,dyrk,dyrke
691.3,Legalisér Marijuana og dyrk det i de tomme avlshuse på minkfarmene.,599,2020-11-11,tomme,tom
691.4,Legalisér Marijuana og dyrk det i de tomme avlshuse på minkfarmene.,599,2020-11-11,avlshuse,avlshus
691.5,Legalisér Marijuana og dyrk det i de tomme avlshuse på minkfarmene.,599,2020-11-11,minkfarmene,minkfarm
692.0,Betalt barsel til begge forældre i op til 12 måneder,272,2020-11-12,betalt,betale
692.1,Betalt barsel til begge forældre i op til 12 måneder,272,2020-11-12,barsel,barsel
692.2,Betalt barsel til begge forældre i op til 12 måneder,272,2020-11-12,begge,begge
692.3,Betalt barsel til begge forældre i op til 12 måneder,272,2020-11-12,forældre,forælder
692.4,Betalt barsel til begge forældre i op til 12 måneder,272,2020-11-12,12,12
692.5,Betalt barsel til begge forældre i op til 12 måneder,272,2020-11-12,måneder,måned
693.0,Stop aflivning af raske mink pga. COVID19 og giv en fyldestgørende kompensation til de erhvervsdrivende bag,234,2020-11-16,stop,stop
693.1,Stop aflivning af raske mink pga. COVID19 og giv en fyldestgørende kompensation til de erhvervsdrivende bag,234,2020-11-16,aflivning,aflivning
