"","title","votes","date","word"
"42","AM-bidraget skal afskaffes",136,2018-02-19,"am"
"42.1","AM-bidraget skal afskaffes",136,2018-02-19,"bidraget"
"42.2","AM-bidraget skal afskaffes",136,2018-02-19,"afskaffes"
"43","Medielicens afskaffes",1344,2018-02-19,"medielicens"
"43.1","Medielicens afskaffes",1344,2018-02-19,"afskaffes"
"44","Borgerforslag om Legalisering af cannabis",2468,2018-02-19,"borgerforslag"
"44.1","Borgerforslag om Legalisering af cannabis",2468,2018-02-19,"legalisering"
"44.2","Borgerforslag om Legalisering af cannabis",2468,2018-02-19,"cannabis"
"45","Stop for adgang til at søge spontan asyl i Danmark",5587,2018-02-21,"stop"
"45.1","Stop for adgang til at søge spontan asyl i Danmark",5587,2018-02-21,"adgang"
"45.2","Stop for adgang til at søge spontan asyl i Danmark",5587,2018-02-21,"søge"
"45.3","Stop for adgang til at søge spontan asyl i Danmark",5587,2018-02-21,"spontan"
"45.4","Stop for adgang til at søge spontan asyl i Danmark",5587,2018-02-21,"asyl"
"45.5","Stop for adgang til at søge spontan asyl i Danmark",5587,2018-02-21,"danmark"
"46","Udskrive valg med henblik på udmeldelse af Den Europæiske Union.",355,2018-02-22,"udskrive"
"46.1","Udskrive valg med henblik på udmeldelse af Den Europæiske Union.",355,2018-02-22,"valg"
"46.2","Udskrive valg med henblik på udmeldelse af Den Europæiske Union.",355,2018-02-22,"henblik"
"46.3","Udskrive valg med henblik på udmeldelse af Den Europæiske Union.",355,2018-02-22,"udmeldelse"
"46.4","Udskrive valg med henblik på udmeldelse af Den Europæiske Union.",355,2018-02-22,"den"
"46.5","Udskrive valg med henblik på udmeldelse af Den Europæiske Union.",355,2018-02-22,"europæiske"
"46.6","Udskrive valg med henblik på udmeldelse af Den Europæiske Union.",355,2018-02-22,"union"
"47","Sikring af korrekt skattebehandling af borgeren (fremsat af Foreningen Rimelig-skat)",146,2018-02-22,"sikring"
"47.1","Sikring af korrekt skattebehandling af borgeren (fremsat af Foreningen Rimelig-skat)",146,2018-02-22,"korrekt"
"47.2","Sikring af korrekt skattebehandling af borgeren (fremsat af Foreningen Rimelig-skat)",146,2018-02-22,"skattebehandling"
"47.3","Sikring af korrekt skattebehandling af borgeren (fremsat af Foreningen Rimelig-skat)",146,2018-02-22,"borgeren"
"47.4","Sikring af korrekt skattebehandling af borgeren (fremsat af Foreningen Rimelig-skat)",146,2018-02-22,"fremsat"
"47.5","Sikring af korrekt skattebehandling af borgeren (fremsat af Foreningen Rimelig-skat)",146,2018-02-22,"foreningen"
"47.6","Sikring af korrekt skattebehandling af borgeren (fremsat af Foreningen Rimelig-skat)",146,2018-02-22,"rimelig"
"47.7","Sikring af korrekt skattebehandling af borgeren (fremsat af Foreningen Rimelig-skat)",146,2018-02-22,"skat"
"48","Forbyd mandlig sterilisation.",24,2018-02-22,"forbyd"
"48.1","Forbyd mandlig sterilisation.",24,2018-02-22,"mandlig"
"48.2","Forbyd mandlig sterilisation.",24,2018-02-22,"sterilisation"
"49","Forslag til folketingsbeslutning om halvering af modregning i pensionstillæg – ”Samspilsproblemet” samt ændring vedrørende Satspuljen.",282,2018-02-22,"forslag"
"49.1","Forslag til folketingsbeslutning om halvering af modregning i pensionstillæg – ”Samspilsproblemet” samt ændring vedrørende Satspuljen.",282,2018-02-22,"folketingsbeslutning"
"49.2","Forslag til folketingsbeslutning om halvering af modregning i pensionstillæg – ”Samspilsproblemet” samt ændring vedrørende Satspuljen.",282,2018-02-22,"halvering"
